Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
add review,Chrome 70.0.3538.102,,2018-11-28 10:34:53,2018-11-28 10:35:55,1m - 1.791s,FAILED
,,,,,,
Test Cases/InProgress/Login,Chrome 70.0.3538.102,,2018-11-28 10:34:53,2018-11-28 10:35:25,31.818s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-28 10:34:54,2018-11-28 10:34:57,3.594s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-28 10:34:57,2018-11-28 10:34:58,1.145s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-28 10:34:58,2018-11-28 10:35:09,10.411s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 10:35:09,2018-11-28 10:35:14,5.025s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 10:35:14,2018-11-28 10:35:14,0.107s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 10:35:14,2018-11-28 10:35:17,3.003s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 10:35:17,2018-11-28 10:35:17,0.123s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 10:35:17,2018-11-28 10:35:20,3.005s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 10:35:20,2018-11-28 10:35:20,0.122s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 10:35:20,2018-11-28 10:35:23,3.001s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 10:35:23,2018-11-28 10:35:25,2.047s,PASSED
,,,,,,
Test Cases/InProgress/add review,Chrome 70.0.3538.102,,2018-11-28 10:35:25,2018-11-28 10:35:54,29.111s,FAILED
click,Chrome 70.0.3538.102,,2018-11-28 10:35:25,2018-11-28 10:35:54,28.939s,FAILED
