Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
add to favourite,Chrome 70.0.3538.110,,2018-12-03 15:53:04,2018-12-03 15:54:59,1m - 54.772s,PASSED
,,,,,,
Test Cases/Final/Reg as visitor,Chrome 70.0.3538.110,,2018-12-03 15:53:05,2018-12-03 15:54:04,59.254s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-03 15:53:05,2018-12-03 15:53:08,3.450s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 15:53:08,2018-12-03 15:53:10,1.140s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 15:53:10,2018-12-03 15:53:14,4.966s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:53:14,2018-12-03 15:53:18,3.050s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:53:18,2018-12-03 15:53:18,0.633s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:53:18,2018-12-03 15:53:21,3.002s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:53:21,2018-12-03 15:53:21,0.270s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:53:21,2018-12-03 15:53:24,3.003s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:53:24,2018-12-03 15:53:25,0.417s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:53:25,2018-12-03 15:53:28,3.001s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:53:28,2018-12-03 15:53:28,0.329s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:53:28,2018-12-03 15:53:31,3.001s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:53:31,2018-12-03 15:53:31,0.298s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:53:31,2018-12-03 15:53:34,3.002s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:53:34,2018-12-03 15:53:34,0.002s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:53:34,2018-12-03 15:53:37,3.002s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-03 15:53:37,2018-12-03 15:53:38,0.312s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:53:38,2018-12-03 15:53:41,3.002s,PASSED
selectOptionByIndex,Chrome 70.0.3538.110,,2018-12-03 15:53:41,2018-12-03 15:53:41,0.172s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:53:41,2018-12-03 15:53:44,3.001s,PASSED
selectOptionByIndex,Chrome 70.0.3538.110,,2018-12-03 15:53:44,2018-12-03 15:53:44,0.238s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:53:44,2018-12-03 15:53:47,3.003s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:53:47,2018-12-03 15:53:48,0.310s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:53:48,2018-12-03 15:53:51,3.003s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:53:51,2018-12-03 15:53:51,0.385s,PASSED
