Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
advanced search,Chrome 70.0.3538.110,,2018-12-04 11:30:29,2018-12-04 11:33:09,2m - 40.162s,FAILED
,,,,,,
Test Cases/Final/search_with_specialty,Chrome 70.0.3538.110,,2018-12-04 11:30:29,2018-12-04 11:31:20,50.219s,FAILED
openBrowser,Chrome 70.0.3538.110,,2018-12-04 11:30:30,2018-12-04 11:30:42,11.777s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-04 11:30:42,2018-12-04 11:30:43,1.163s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-04 11:30:43,2018-12-04 11:30:55,12.148s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 11:30:55,2018-12-04 11:31:03,8.360s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 11:31:03,2018-12-04 11:31:06,3.020s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 11:31:06,2018-12-04 11:31:08,1.909s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 11:31:08,2018-12-04 11:31:11,3.003s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 11:31:11,2018-12-04 11:31:20,8.438s,FAILED
,,,,,,
Test Cases/Final/back to advanced search,Chrome 70.0.3538.110,,2018-12-04 11:31:20,2018-12-04 11:31:28,8.158s,FAILED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-04 11:31:20,2018-12-04 11:31:28,8.035s,FAILED
,,,,,,
Test Cases/Final/search with kind of school,Chrome 70.0.3538.110,,2018-12-04 11:31:28,2018-12-04 11:31:39,11.257s,FAILED
openBrowser,Chrome 70.0.3538.110,,2018-12-04 11:31:28,2018-12-04 11:31:28,0.001s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-04 11:31:28,2018-12-04 11:31:28,0.002s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-04 11:31:28,2018-12-04 11:31:28,0.002s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-04 11:31:28,2018-12-04 11:31:28,0.002s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-04 11:31:28,2018-12-04 11:31:28,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-04 11:31:28,2018-12-04 11:31:28,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-04 11:31:28,2018-12-04 11:31:31,3.002s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 11:31:31,2018-12-04 11:31:39,8.108s,FAILED
,,,,,,
Test Cases/Final/back to advanced search1,Chrome 70.0.3538.110,,2018-12-04 11:31:39,2018-12-04 11:31:47,8.150s,FAILED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-04 11:31:39,2018-12-04 11:31:47,8.021s,FAILED
,,,,,,
Test Cases/Final/search with country,Chrome 70.0.3538.110,,2018-12-04 11:31:47,2018-12-04 11:31:59,11.482s,FAILED
openBrowser,Chrome 70.0.3538.110,,2018-12-04 11:31:47,2018-12-04 11:31:47,0.000s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-04 11:31:47,2018-12-04 11:31:47,0.000s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-04 11:31:47,2018-12-04 11:31:47,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-04 11:31:47,2018-12-04 11:31:47,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-04 11:31:47,2018-12-04 11:31:47,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-04 11:31:47,2018-12-04 11:31:47,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-04 11:31:47,2018-12-04 11:31:50,3.002s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 11:31:50,2018-12-04 11:31:59,8.373s,FAILED
,,,,,,
Test Cases/Final/search with city,Chrome 70.0.3538.110,,2018-12-04 11:31:59,2018-12-04 11:32:10,11.155s,FAILED
openBrowser,Chrome 70.0.3538.110,,2018-12-04 11:31:59,2018-12-04 11:31:59,0.001s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-04 11:31:59,2018-12-04 11:31:59,0.000s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-04 11:31:59,2018-12-04 11:31:59,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-04 11:31:59,2018-12-04 11:31:59,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-04 11:31:59,2018-12-04 11:31:59,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-04 11:31:59,2018-12-04 11:31:59,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-04 11:31:59,2018-12-04 11:31:59,0.000s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-04 11:31:59,2018-12-04 11:31:59,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-04 11:31:59,2018-12-04 11:31:59,0.000s,NOT_RUN
check,Chrome 70.0.3538.110,,2018-12-04 11:31:59,2018-12-04 11:31:59,0.000s,NOT_RUN
verifyElementChecked,Chrome 70.0.3538.110,,2018-12-04 11:31:59,2018-12-04 11:31:59,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-04 11:31:59,2018-12-04 11:32:02,3.002s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 11:32:02,2018-12-04 11:32:10,8.032s,FAILED
,,,,,,
Test Cases/Final/back to advanced search2,Chrome 70.0.3538.110,,2018-12-04 11:32:10,2018-12-04 11:32:18,8.139s,FAILED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-04 11:32:10,2018-12-04 11:32:18,8.023s,FAILED
,,,,,,
Test Cases/Final/search with educational level,Chrome 70.0.3538.110,,2018-12-04 11:32:18,2018-12-04 11:32:29,11.251s,FAILED
openBrowser,Chrome 70.0.3538.110,,2018-12-04 11:32:18,2018-12-04 11:32:18,0.001s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-04 11:32:18,2018-12-04 11:32:18,0.001s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-04 11:32:18,2018-12-04 11:32:18,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-04 11:32:18,2018-12-04 11:32:18,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-04 11:32:18,2018-12-04 11:32:18,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-04 11:32:18,2018-12-04 11:32:18,0.003s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-04 11:32:18,2018-12-04 11:32:21,3.002s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 11:32:21,2018-12-04 11:32:29,8.067s,FAILED
,,,,,,
Test Cases/Final/back to advanced search4,Chrome 70.0.3538.110,,2018-12-04 11:32:29,2018-12-04 11:32:37,8.165s,FAILED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-04 11:32:29,2018-12-04 11:32:37,8.025s,FAILED
,,,,,,
Test Cases/Final/search with gender,Chrome 70.0.3538.110,,2018-12-04 11:32:37,2018-12-04 11:32:49,11.200s,FAILED
openBrowser,Chrome 70.0.3538.110,,2018-12-04 11:32:38,2018-12-04 11:32:38,0.001s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-04 11:32:38,2018-12-04 11:32:38,0.000s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-04 11:32:38,2018-12-04 11:32:38,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-04 11:32:38,2018-12-04 11:32:38,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-04 11:32:38,2018-12-04 11:32:38,0.000s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-04 11:32:38,2018-12-04 11:32:38,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-04 11:32:38,2018-12-04 11:32:41,3.001s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 11:32:41,2018-12-04 11:32:49,8.058s,FAILED
,,,,,,
