Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
advanced search1,Chrome 70.0.3538.110,,2018-12-04 11:54:48,2018-12-04 11:56:50,2m - 1.395s,PASSED
,,,,,,
Test Cases/Final/search_with_specialty,Chrome 70.0.3538.110,,2018-12-04 11:54:49,2018-12-04 11:55:37,47.869s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-04 11:54:50,2018-12-04 11:54:57,7.200s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-04 11:54:57,2018-12-04 11:54:58,1.327s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-04 11:54:58,2018-12-04 11:55:10,12.164s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 11:55:10,2018-12-04 11:55:11,1.095s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 11:55:11,2018-12-04 11:55:14,3.021s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 11:55:14,2018-12-04 11:55:16,1.527s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 11:55:16,2018-12-04 11:55:19,3.001s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 11:55:19,2018-12-04 11:55:19,0.080s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 11:55:19,2018-12-04 11:55:22,3.004s,PASSED
check,Chrome 70.0.3538.110,,2018-12-04 11:55:22,2018-12-04 11:55:27,5.121s,PASSED
verifyElementChecked,Chrome 70.0.3538.110,,2018-12-04 11:55:27,2018-12-04 11:55:27,0.049s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 11:55:27,2018-12-04 11:55:37,10.003s,PASSED
verifyTextPresent,Chrome 70.0.3538.110,,2018-12-04 11:55:37,2018-12-04 11:55:37,0.001s,NOT_RUN
,,,,,,
Test Cases/Final/search with kind of school,Chrome 70.0.3538.110,,2018-12-04 11:55:37,2018-12-04 11:56:00,23.296s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-04 11:55:37,2018-12-04 11:55:37,0.000s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-04 11:55:37,2018-12-04 11:55:37,0.000s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-04 11:55:37,2018-12-04 11:55:37,0.000s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-04 11:55:37,2018-12-04 11:55:37,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-04 11:55:37,2018-12-04 11:55:37,0.000s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-04 11:55:37,2018-12-04 11:55:37,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-04 11:55:37,2018-12-04 11:55:40,3.002s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 11:55:40,2018-12-04 11:55:42,1.888s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 11:55:42,2018-12-04 11:55:45,3.001s,PASSED
check,Chrome 70.0.3538.110,,2018-12-04 11:55:45,2018-12-04 11:55:50,5.200s,PASSED
verifyElementChecked,Chrome 70.0.3538.110,,2018-12-04 11:55:50,2018-12-04 11:55:50,0.047s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 11:55:50,2018-12-04 11:56:00,10.002s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 11:56:00,2018-12-04 11:56:00,0.001s,NOT_RUN
,,,,,,
Test Cases/Final/search with country,Chrome 70.0.3538.110,,2018-12-04 11:56:00,2018-12-04 11:56:13,12.872s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-04 11:56:01,2018-12-04 11:56:01,0.001s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-04 11:56:01,2018-12-04 11:56:01,0.000s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-04 11:56:01,2018-12-04 11:56:01,0.000s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-04 11:56:01,2018-12-04 11:56:01,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-04 11:56:01,2018-12-04 11:56:01,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-04 11:56:01,2018-12-04 11:56:01,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-04 11:56:01,2018-12-04 11:56:04,3.002s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 11:56:04,2018-12-04 11:56:09,5.426s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 11:56:09,2018-12-04 11:56:12,3.002s,PASSED
check,Chrome 70.0.3538.110,,2018-12-04 11:56:12,2018-12-04 11:56:12,0.283s,PASSED
verifyElementChecked,Chrome 70.0.3538.110,,2018-12-04 11:56:12,2018-12-04 11:56:12,0.033s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 11:56:12,2018-12-04 11:56:13,1.001s,PASSED
,,,,,,
Test Cases/Final/search with city,Chrome 70.0.3538.110,,2018-12-04 11:56:13,2018-12-04 11:56:30,16.730s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-04 11:56:14,2018-12-04 11:56:14,0.001s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-04 11:56:14,2018-12-04 11:56:14,0.001s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-04 11:56:14,2018-12-04 11:56:14,0.001s,NOT_RUN
