Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
home search by each field,Chrome 70.0.3538.110,,2018-12-08 15:42:21,2018-12-08 15:44:31,2m - 9.518s,PASSED
,,,,,,
Test Cases/Final/home search by school name,Chrome 70.0.3538.110,,2018-12-08 15:42:22,2018-12-08 15:43:15,52.409s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 15:42:22,2018-12-08 15:42:44,21.824s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 15:42:44,2018-12-08 15:42:45,1.249s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 15:42:45,2018-12-08 15:42:57,11.861s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 15:42:57,2018-12-08 15:43:01,4.096s,PASSED
selectOptionByIndex,Chrome 70.0.3538.110,,2018-12-08 15:43:01,2018-12-08 15:43:01,0.002s,NOT_RUN
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 15:43:01,2018-12-08 15:43:01,0.002s,NOT_RUN
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 15:43:01,2018-12-08 15:43:01,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 15:43:01,2018-12-08 15:43:04,3.023s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:43:04,2018-12-08 15:43:14,10.039s,PASSED
,,,,,,
Test Cases/Final/home search by school category,Chrome 70.0.3538.110,,2018-12-08 15:43:15,2018-12-08 15:43:40,24.974s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 15:43:15,2018-12-08 15:43:15,0.002s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 15:43:15,2018-12-08 15:43:15,0.002s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 15:43:15,2018-12-08 15:43:16,1.463s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:43:16,2018-12-08 15:43:21,5.001s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 15:43:21,2018-12-08 15:43:21,0.001s,NOT_RUN
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 15:43:21,2018-12-08 15:43:22,1.067s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:43:22,2018-12-08 15:43:27,5.004s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 15:43:27,2018-12-08 15:43:27,0.001s,NOT_RUN
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 15:43:27,2018-12-08 15:43:27,0.000s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 15:43:27,2018-12-08 15:43:30,2.261s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:43:30,2018-12-08 15:43:40,10.007s,PASSED
,,,,,,
Test Cases/Final/home search by country,Chrome 70.0.3538.110,,2018-12-08 15:43:40,2018-12-08 15:44:01,21.692s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 15:43:40,2018-12-08 15:43:40,0.002s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 15:43:40,2018-12-08 15:43:40,0.001s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 15:43:40,2018-12-08 15:43:41,1.369s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 15:43:41,2018-12-08 15:43:41,0.001s,NOT_RUN
selectOptionByIndex,Chrome 70.0.3538.110,,2018-12-08 15:43:41,2018-12-08 15:43:41,0.000s,NOT_RUN
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 15:43:41,2018-12-08 15:43:44,2.504s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:43:44,2018-12-08 15:43:49,5.004s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 15:43:49,2018-12-08 15:43:49,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 15:43:49,2018-12-08 15:43:51,2.566s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:43:51,2018-12-08 15:44:01,10.002s,PASSED
,,,,,,
Test Cases/Final/home search by city,Chrome 70.0.3538.110,,2018-12-08 15:44:01,2018-12-08 15:44:27,25.489s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 15:44:02,2018-12-08 15:44:02,0.001s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 15:44:02,2018-12-08 15:44:02,0.000s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 15:44:02,2018-12-08 15:44:04,1.257s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 15:44:04,2018-12-08 15:44:04,0.003s,NOT_RUN
selectOptionByIndex,Chrome 70.0.3538.110,,2018-12-08 15:44:04,2018-12-08 15:44:04,0.001s,NOT_RUN
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 15:44:04,2018-12-08 15:44:04,0.139s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:44:04,2018-12-08 15:44:09,5.002s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 15:44:09,2018-12-08 15:44:09,0.247s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:44:09,2018-12-08 15:44:14,5.004s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 15:44:14,2018-12-08 15:44:17,2.773s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:44:17,2018-12-08 15:44:27,10.002s,PASSED
"Statement - result = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(home search/search_result), false)",Chrome 70.0.3538.110,,2018-12-08 15:44:27,2018-12-08 15:44:27,0.000s,NOT_RUN
