Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
home search_all field,Chrome 70.0.3538.110,,2018-12-08 13:23:44,2018-12-08 13:24:18,33.779s,PASSED
,,,,,,
Test Cases/Final/home search,Chrome 70.0.3538.110,,2018-12-08 13:23:45,2018-12-08 13:24:17,32.425s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 13:23:45,2018-12-08 13:23:51,6.103s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 13:23:51,2018-12-08 13:23:52,1.144s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 13:23:52,2018-12-08 13:24:08,16.145s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 13:24:08,2018-12-08 13:24:09,0.231s,PASSED
selectOptionByIndex,Chrome 70.0.3538.110,,2018-12-08 13:24:09,2018-12-08 13:24:09,0.139s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 13:24:09,2018-12-08 13:24:09,0.146s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 13:24:09,2018-12-08 13:24:14,5.016s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 13:24:14,2018-12-08 13:24:14,0.108s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 13:24:14,2018-12-08 13:24:17,3.111s,PASSED
