Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
parent can join to school,Chrome 70.0.3538.110,,2018-12-08 11:36:20,2018-12-08 11:37:57,1m - 36.682s,FAILED
,,,,,,
Test Cases/Final/REG as parent,Chrome 70.0.3538.110,,2018-12-08 11:36:20,2018-12-08 11:37:03,42.543s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 11:36:21,2018-12-08 11:36:26,5.149s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 11:36:26,2018-12-08 11:36:27,1.139s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 11:36:27,2018-12-08 11:36:32,4.488s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 11:36:32,2018-12-08 11:36:37,5.021s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 11:36:37,2018-12-08 11:36:37,0.308s,PASSED
Statement - par_uname = org.apache.commons.lang.RandomStringUtils.randomAlphabetic(6),Chrome 70.0.3538.110,,2018-12-08 11:36:37,2018-12-08 11:36:37,0.000s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 11:36:37,2018-12-08 11:36:37,0.395s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 11:36:37,2018-12-08 11:36:38,0.492s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 11:36:38,2018-12-08 11:36:38,0.352s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 11:36:38,2018-12-08 11:36:39,0.416s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 11:36:39,2018-12-08 11:36:39,0.164s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 11:36:39,2018-12-08 11:36:42,3.002s,PASSED
selectOptionByIndex,Chrome 70.0.3538.110,,2018-12-08 11:36:42,2018-12-08 11:36:42,0.132s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 11:36:42,2018-12-08 11:36:45,3.002s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 11:36:45,2018-12-08 11:36:45,0.105s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 11:36:45,2018-12-08 11:36:50,5.003s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 11:36:50,2018-12-08 11:36:50,0.240s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 11:36:50,2018-12-08 11:36:50,0.275s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 11:36:50,2018-12-08 11:36:55,5.002s,PASSED
uploadFile,Chrome 70.0.3538.110,,2018-12-08 11:36:55,2018-12-08 11:36:56,0.051s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 11:36:56,2018-12-08 11:37:01,5.002s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 11:37:01,2018-12-08 11:37:03,2.486s,PASSED
,,,,,,
Test Cases/Final/logout - Copy,Chrome 70.0.3538.110,,2018-12-08 11:37:03,2018-12-08 11:37:21,18.108s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 11:37:03,2018-12-08 11:37:03,0.002s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 11:37:03,2018-12-08 11:37:03,0.000s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 11:37:03,2018-12-08 11:37:03,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 11:37:03,2018-12-08 11:37:03,0.000s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 11:37:03,2018-12-08 11:37:03,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 11:37:03,2018-12-08 11:37:03,0.001s,NOT_RUN
setText,Chrome 70.0.3538.110,,2018-12-08 11:37:03,2018-12-08 11:37:03,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 11:37:03,2018-12-08 11:37:03,0.001s,NOT_RUN
setText,Chrome 70.0.3538.110,,2018-12-08 11:37:03,2018-12-08 11:37:03,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 11:37:03,2018-12-08 11:37:03,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 11:37:03,2018-12-08 11:37:03,0.000s,NOT_RUN
