Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
school can add event,Chrome 70.0.3538.110,,2018-12-03 14:00:32,2018-12-03 14:02:29,1m - 57.048s,FAILED
,,,,,,
Test Cases/Final/reg as school,Chrome 70.0.3538.110,,2018-12-03 14:00:32,2018-12-03 14:01:09,36.295s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-03 14:00:33,2018-12-03 14:00:36,3.089s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 14:00:36,2018-12-03 14:00:37,1.188s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 14:00:37,2018-12-03 14:00:42,5.441s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 14:00:42,2018-12-03 14:00:42,0.002s,NOT_RUN
setText,Chrome 70.0.3538.110,,2018-12-03 14:00:42,2018-12-03 14:00:43,0.485s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 14:00:43,2018-12-03 14:00:43,0.411s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 14:00:43,2018-12-03 14:00:44,0.608s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 14:00:44,2018-12-03 14:00:44,0.348s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 14:00:44,2018-12-03 14:00:45,0.375s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 14:00:45,2018-12-03 14:00:45,0.401s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-03 14:00:45,2018-12-03 14:00:45,0.275s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 14:00:45,2018-12-03 14:00:48,3.027s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-03 14:00:48,2018-12-03 14:00:49,0.160s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 14:00:49,2018-12-03 14:00:52,3.004s,PASSED
