Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
student can compare between school,Chrome 70.0.3538.110,,2018-12-08 15:11:40,2018-12-08 15:13:58,2m - 18.559s,PASSED
,,,,,,
Test Cases/Final/REG as student,Chrome 70.0.3538.110,,2018-12-08 15:11:40,2018-12-08 15:12:44,1m - 4.298s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 15:11:40,2018-12-08 15:11:43,3.172s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 15:11:43,2018-12-08 15:11:45,1.153s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 15:11:45,2018-12-08 15:11:50,5.515s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 15:11:50,2018-12-08 15:11:51,0.565s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:11:51,2018-12-08 15:11:54,3.029s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 15:11:54,2018-12-08 15:11:54,0.433s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:11:54,2018-12-08 15:11:57,3.002s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 15:11:57,2018-12-08 15:11:58,0.472s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:11:58,2018-12-08 15:12:01,3.001s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 15:12:01,2018-12-08 15:12:01,0.389s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:01,2018-12-08 15:12:04,3.002s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 15:12:04,2018-12-08 15:12:04,0.271s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:04,2018-12-08 15:12:07,3.004s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 15:12:07,2018-12-08 15:12:07,0.008s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:07,2018-12-08 15:12:10,3.002s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 15:12:10,2018-12-08 15:12:10,0.187s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:10,2018-12-08 15:12:15,5.004s,PASSED
selectOptionByIndex,Chrome 70.0.3538.110,,2018-12-08 15:12:15,2018-12-08 15:12:16,0.204s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:16,2018-12-08 15:12:21,5.004s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 15:12:21,2018-12-08 15:12:21,0.148s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:21,2018-12-08 15:12:24,3.005s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 15:12:24,2018-12-08 15:12:24,0.313s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:24,2018-12-08 15:12:27,3.000s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 15:12:27,2018-12-08 15:12:28,0.442s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:28,2018-12-08 15:12:31,3.004s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 15:12:31,2018-12-08 15:12:31,0.202s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:31,2018-12-08 15:12:34,3.005s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 15:12:34,2018-12-08 15:12:34,0.147s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:34,2018-12-08 15:12:37,3.004s,PASSED
uploadFile,Chrome 70.0.3538.110,,2018-12-08 15:12:37,2018-12-08 15:12:37,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:37,2018-12-08 15:12:37,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 15:12:37,2018-12-08 15:12:39,2.193s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:39,2018-12-08 15:12:44,5.002s,PASSED
,,,,,,
Test Cases/Final/logout,Chrome 70.0.3538.110,,2018-12-08 15:12:44,2018-12-08 15:12:58,14.218s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 15:12:44,2018-12-08 15:12:44,0.000s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 15:12:44,2018-12-08 15:12:44,0.000s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 15:12:44,2018-12-08 15:12:44,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:44,2018-12-08 15:12:44,0.004s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 15:12:44,2018-12-08 15:12:44,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:44,2018-12-08 15:12:44,0.001s,NOT_RUN
setText,Chrome 70.0.3538.110,,2018-12-08 15:12:44,2018-12-08 15:12:44,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:44,2018-12-08 15:12:44,0.000s,NOT_RUN
setText,Chrome 70.0.3538.110,,2018-12-08 15:12:44,2018-12-08 15:12:44,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:44,2018-12-08 15:12:44,0.000s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 15:12:44,2018-12-08 15:12:44,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:44,2018-12-08 15:12:44,0.004s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 15:12:44,2018-12-08 15:12:44,0.116s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:12:44,2018-12-08 15:12:49,5.003s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 15:12:49,2018-12-08 15:12:58,8.910s,PASSED
,,,,,,
Test Cases/Final/login - student,Chrome 70.0.3538.110,,2018-12-08 15:12:58,2018-12-08 15:13:27,28.253s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 15:12:59,2018-12-08 15:12:59,0.000s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 15:12:59,2018-12-08 15:12:59,0.000s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 15:12:59,2018-12-08 15:13:09,10.622s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 15:13:09,2018-12-08 15:13:19,10.001s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 15:13:19,2018-12-08 15:13:19,0.103s,PASSED
