Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
student can compare between schools,Chrome 70.0.3538.110,,2018-12-03 16:18:58,2018-12-03 16:21:18,2m - 20.041s,FAILED
,,,,,,
Test Cases/Final/REG as student,Chrome 70.0.3538.110,,2018-12-03 16:18:58,2018-12-03 16:20:00,1m - 2.449s,FAILED
openBrowser,Chrome 70.0.3538.110,,2018-12-03 16:18:58,2018-12-03 16:19:02,3.265s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 16:19:02,2018-12-03 16:19:03,1.172s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 16:19:03,2018-12-03 16:19:10,7.507s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 16:19:10,2018-12-03 16:19:11,0.535s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 16:19:11,2018-12-03 16:19:14,3.023s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 16:19:14,2018-12-03 16:19:14,0.306s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 16:19:14,2018-12-03 16:19:17,3.003s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 16:19:17,2018-12-03 16:19:18,0.442s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 16:19:18,2018-12-03 16:19:21,3.002s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 16:19:21,2018-12-03 16:19:21,0.267s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 16:19:21,2018-12-03 16:19:24,3.006s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 16:19:24,2018-12-03 16:19:24,0.240s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 16:19:24,2018-12-03 16:19:27,3.003s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 16:19:27,2018-12-03 16:19:27,0.265s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 16:19:27,2018-12-03 16:19:30,3.002s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-03 16:19:30,2018-12-03 16:19:31,0.171s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 16:19:31,2018-12-03 16:19:36,5.002s,PASSED
selectOptionByIndex,Chrome 70.0.3538.110,,2018-12-03 16:19:36,2018-12-03 16:19:36,0.197s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 16:19:36,2018-12-03 16:19:41,5.003s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-03 16:19:41,2018-12-03 16:19:41,0.152s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 16:19:41,2018-12-03 16:19:44,3.002s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 16:19:44,2018-12-03 16:19:44,0.289s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 16:19:44,2018-12-03 16:19:47,3.001s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 16:19:47,2018-12-03 16:19:48,0.326s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 16:19:48,2018-12-03 16:19:51,3.003s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-03 16:19:51,2018-12-03 16:19:51,0.183s,PASSED
