Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
superadmin can add jobs,Chrome 70.0.3538.110,,2018-12-03 15:26:10,2018-12-03 15:27:12,1m - 1.689s,ERROR
,,,,,,
Test Cases/Final/Login - superadmin,Chrome 70.0.3538.110,,2018-12-03 15:26:10,2018-12-03 15:26:48,37.617s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-03 15:26:11,2018-12-03 15:26:14,3.126s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 15:26:14,2018-12-03 15:26:15,1.156s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 15:26:15,2018-12-03 15:26:28,13.026s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:26:28,2018-12-03 15:26:38,10.048s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:26:38,2018-12-03 15:26:38,0.135s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:26:38,2018-12-03 15:26:43,5.002s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:26:43,2018-12-03 15:26:43,0.169s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:26:43,2018-12-03 15:26:44,0.138s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:26:44,2018-12-03 15:26:48,4.520s,PASSED
,,,,,,
Test Cases/Final/nav_to_HS,Chrome 70.0.3538.110,,2018-12-03 15:26:48,2018-12-03 15:26:58,9.846s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 15:26:48,2018-12-03 15:26:58,9.641s,PASSED
,,,,,,
Test Cases/Final/add_jobs,Chrome 70.0.3538.110,,2018-12-03 15:26:58,2018-12-03 15:27:11,13.154s,ERROR
openBrowser,Chrome 70.0.3538.110,,2018-12-03 15:26:58,2018-12-03 15:26:58,0.002s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 15:26:58,2018-12-03 15:26:58,0.002s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 15:26:58,2018-12-03 15:26:58,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:26:58,2018-12-03 15:26:58,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 15:26:58,2018-12-03 15:26:58,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:26:58,2018-12-03 15:26:58,0.001s,NOT_RUN
setText,Chrome 70.0.3538.110,,2018-12-03 15:26:58,2018-12-03 15:26:58,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:26:58,2018-12-03 15:26:58,0.001s,NOT_RUN
setText,Chrome 70.0.3538.110,,2018-12-03 15:26:58,2018-12-03 15:26:58,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:26:58,2018-12-03 15:26:58,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 15:26:58,2018-12-03 15:26:58,0.003s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:26:58,2018-12-03 15:26:58,0.004s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 15:26:58,2018-12-03 15:27:00,1.467s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:27:00,2018-12-03 15:27:05,5.003s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:27:05,2018-12-03 15:27:06,1.395s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:27:06,2018-12-03 15:27:11,5.002s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:27:11,2018-12-03 15:27:11,0.005s,PASSED
